Batch;cloudlet;cloudlet_task1;cloudlet_task2;cloud;cloud_task1;cloud_task2;system;system_task1;system_task2;
1;1.569908;1.209399;1.918493;0.114463;0.122075;0.107102;1.684370;1.331475;2.025595;
2;1.530702;1.124984;1.920093;0.108454;0.115813;0.101390;1.639156;1.240798;2.021484;
3;1.531431;1.121481;1.937180;0.113325;0.121621;0.105113;1.644755;1.243103;2.042293;
4;1.540389;1.108203;1.953641;0.112244;0.118833;0.105944;1.652633;1.227036;2.059585;
5;1.534137;1.112656;1.941422;0.115605;0.124841;0.106679;1.649742;1.237497;2.048102;
6;1.549880;1.148061;1.933267;0.115855;0.120150;0.111758;1.665735;1.268211;2.045025;
7;1.557781;1.206112;1.901032;0.114532;0.120719;0.108493;1.672313;1.326831;2.009525;
8;1.541299;1.227371;1.844642;0.109286;0.114755;0.104002;1.650585;1.342126;1.948643;
9;1.540973;1.144175;1.929512;0.108362;0.114651;0.102205;1.649335;1.258825;2.031717;
10;1.556007;1.174606;1.923787;0.111270;0.117693;0.105077;1.667277;1.292299;2.028864;
11;1.551682;1.161790;1.931841;0.109887;0.118721;0.101273;1.661569;1.280511;2.033114;
12;1.558835;1.219554;1.885826;0.112050;0.117138;0.107146;1.670886;1.336693;1.992972;
13;1.563942;1.174601;1.944345;0.114347;0.117122;0.111635;1.678289;1.291722;2.055980;
14;1.542314;1.138418;1.938350;0.115116;0.123789;0.106611;1.657430;1.262207;2.044961;
15;1.561374;1.134849;1.970754;0.113158;0.120913;0.105714;1.674532;1.255761;2.076468;
16;1.547311;1.124670;1.959361;0.114310;0.121543;0.107258;1.661621;1.246213;2.066618;
17;1.568807;1.185330;1.929051;0.113415;0.120600;0.106665;1.682222;1.305931;2.035717;
18;1.545209;1.134434;1.938333;0.113439;0.118275;0.108812;1.658649;1.252708;2.047145;
19;1.554375;1.093474;1.984660;0.118834;0.130398;0.108037;1.673209;1.223872;2.092697;
20;1.560095;1.141302;1.959583;0.114567;0.124189;0.105388;1.674662;1.265491;2.064972;
21;1.551241;1.135494;1.940013;0.110011;0.116668;0.103785;1.661252;1.252162;2.043798;
22;1.549129;1.192955;1.900621;0.109802;0.115635;0.104046;1.658931;1.308590;2.004668;
23;1.536016;1.090236;1.961284;0.112201;0.119556;0.105185;1.648217;1.209792;2.066469;
24;1.556865;1.148373;1.945833;0.113679;0.122951;0.104851;1.670544;1.271324;2.050684;
25;1.570423;1.143403;1.976500;0.111604;0.117305;0.106183;1.682027;1.260709;2.082683;
26;1.548098;1.141714;1.945111;0.110683;0.120138;0.101447;1.658781;1.261852;2.046558;
27;1.562043;1.133458;1.968196;0.118195;0.124498;0.112222;1.680238;1.257957;2.080419;
28;1.533358;1.111510;1.932907;0.119014;0.128737;0.109806;1.652373;1.240247;2.042712;
29;1.548754;1.171626;1.915994;0.111805;0.119515;0.104297;1.660559;1.291141;2.020291;
30;1.544231;1.124339;1.955079;0.114876;0.124553;0.105409;1.659108;1.248891;2.060488;
31;1.551209;1.138261;1.944979;0.109131;0.114259;0.104240;1.660340;1.252520;2.049219;
32;1.579938;1.138054;2.004649;0.111569;0.120472;0.103013;1.691508;1.258525;2.107663;
33;1.511831;1.144421;1.866810;0.108985;0.114479;0.103677;1.620817;1.258900;1.970488;
34;1.551669;1.183917;1.905517;0.112928;0.119147;0.106944;1.664597;1.303064;2.012461;
35;1.531697;1.143440;1.904499;0.114391;0.121559;0.107509;1.646088;1.264999;2.012008;
36;1.538151;1.109478;1.943571;0.113943;0.124843;0.103634;1.652094;1.234321;2.047205;
37;1.572786;1.129007;1.982043;0.112198;0.122231;0.102945;1.684984;1.251238;2.084987;
38;1.541875;1.154189;1.904924;0.113787;0.123102;0.105064;1.655662;1.277290;2.009988;
39;1.553792;1.218074;1.880118;0.108172;0.115798;0.100759;1.661964;1.333872;1.980877;
40;1.560279;1.186864;1.918355;0.106337;0.115380;0.097666;1.666616;1.302244;2.016021;
41;1.535867;1.144301;1.915748;0.108870;0.117153;0.100833;1.644736;1.261454;2.016581;
42;1.542875;1.127405;1.935800;0.111384;0.118218;0.104922;1.654259;1.245622;2.040722;
43;1.551199;1.160369;1.930969;0.111377;0.119249;0.103727;1.662576;1.279618;2.034697;
44;1.559682;1.155826;1.947524;0.111465;0.118365;0.104838;1.671147;1.274191;2.052362;
45;1.565271;1.228154;1.887548;0.110701;0.119421;0.102365;1.675972;1.347576;1.989914;
46;1.543242;1.073657;1.986641;0.112125;0.118674;0.105942;1.655368;1.192331;2.092582;
47;1.523433;1.126431;1.906012;0.114348;0.121797;0.107169;1.637781;1.248229;2.013181;
48;1.550832;1.130330;1.950459;0.112764;0.119265;0.106585;1.663595;1.249595;2.057044;
49;1.550684;1.127699;1.952449;0.117183;0.126050;0.108761;1.667867;1.253749;2.061210;
50;1.561366;1.200030;1.919265;0.109561;0.114972;0.104201;1.670927;1.315002;2.023466;
51;1.551572;1.164491;1.920321;0.111235;0.118508;0.104307;1.662807;1.282999;2.024628;
52;1.562577;1.177814;1.921947;0.105669;0.107697;0.103775;1.668246;1.285511;2.025722;
53;1.549074;1.171108;1.910473;0.111274;0.120981;0.101993;1.660348;1.292089;2.012466;
54;1.551281;1.109028;1.950713;0.115465;0.124187;0.107588;1.666746;1.233215;2.058301;
55;1.537844;1.116708;1.942800;0.113325;0.120014;0.106892;1.651169;1.236723;2.049692;
56;1.558386;1.203101;1.897666;0.113136;0.121624;0.105031;1.671522;1.324725;2.002697;
57;1.550321;1.208716;1.859542;0.115031;0.118637;0.111767;1.665353;1.327352;1.971310;
58;1.535262;1.154431;1.904726;0.109958;0.115555;0.104528;1.645220;1.269986;2.009253;
59;1.549707;1.086650;2.001804;0.112879;0.123226;0.102778;1.662587;1.209876;2.104582;
60;1.557037;1.208392;1.887311;0.109854;0.117109;0.102981;1.666891;1.325502;1.990292;
61;1.537139;1.141428;1.926644;0.116420;0.122454;0.110480;1.653559;1.263882;2.037125;
62;1.548209;1.121938;1.942276;0.117246;0.126785;0.108427;1.665454;1.248723;2.050703;
63;1.551735;1.133365;1.953527;0.116302;0.125283;0.107677;1.668037;1.258648;2.061204;
64;1.561223;1.213688;1.902232;0.108108;0.113631;0.102690;1.669332;1.327319;2.004922;
65;1.562291;1.202377;1.911774;0.115335;0.126411;0.104580;1.677626;1.328788;2.016354;
66;1.550036;1.194135;1.898892;0.115844;0.120756;0.111030;1.665881;1.314890;2.009922;
67;1.554557;1.185450;1.914543;0.111930;0.117892;0.106115;1.666487;1.303342;2.020658;
68;1.544984;1.145905;1.923005;0.117364;0.121507;0.113440;1.662348;1.267412;2.036445;
69;1.546440;1.188892;1.885983;0.109356;0.116126;0.102927;1.655796;1.305018;1.988909;
70;1.554205;1.171345;1.920848;0.106800;0.116028;0.097962;1.661005;1.287374;2.018809;
71;1.528925;1.173435;1.869650;0.111075;0.118000;0.104437;1.640000;1.291435;1.974088;
72;1.545424;1.123404;1.955535;0.108521;0.116330;0.100932;1.653945;1.239733;2.056467;
73;1.592475;1.186945;1.990450;0.110012;0.117054;0.103101;1.702487;1.303999;2.093552;
74;1.542298;1.136365;1.926190;0.115599;0.123034;0.108567;1.657896;1.259399;2.034756;
75;1.548972;1.174268;1.914968;0.112121;0.120172;0.104256;1.661092;1.294440;2.019225;
76;1.554109;1.182181;1.910551;0.112516;0.121406;0.103997;1.666626;1.303586;2.014548;
77;1.553958;1.190015;1.899423;0.114838;0.125131;0.105069;1.668797;1.315145;2.004492;
78;1.542946;1.139027;1.932626;0.110268;0.120718;0.100186;1.653214;1.259745;2.032812;
79;1.541560;1.109830;1.947282;0.114672;0.123367;0.106501;1.656233;1.233196;2.053783;
80;1.554766;1.126067;1.967769;0.107738;0.117291;0.098534;1.662504;1.243358;2.066303;
81;1.565907;1.198693;1.926760;0.109907;0.115130;0.104776;1.675815;1.313823;2.031535;
82;1.562852;1.208783;1.904338;0.112621;0.120368;0.105149;1.675473;1.329151;2.009488;
83;1.543780;1.135841;1.926661;0.116927;0.125819;0.108581;1.660707;1.261661;2.035242;
84;1.554583;1.155301;1.935986;0.109940;0.117016;0.103182;1.664524;1.272317;2.039169;
85;1.560899;1.197285;1.903848;0.113422;0.120087;0.107135;1.674321;1.317372;2.010984;
86;1.573950;1.219542;1.912794;0.109567;0.116256;0.103171;1.683517;1.335798;2.015966;
